date,message
2022-05-16," Разведывательные миссии союзников в районе Черного моря за сегодня:  - Northrop Grumman RQ-4B ВВС США (рег. 11-2046, позывной FORTE12) выполнял миссию над западной частью Черного моря. - Boeing E-3A НАТО (регистрационный номер LX-N90451) находился над дельтой Дуная. - Boeing RC- 135W ВВС Великобритании (рег. ZZ664) выполнял миссию по наблюдению за восточной частью Черного моря. Перші реальні досягнення зброї поставленої союзниками під Ізюмом. Склад БК росіян. Був. Пряме влучання з М777. При детонації ЗНИЩЕНО: до роти окупантів; 7 БМП; 1 ТАНК. Працює ОУВ ""Слобода"" Сообщения о запусках ракет публикуются, только если есть фактические подтверждения о запусках с земли/воздуха/моря.   Сообщения могут содержать ошибки и неточности.  Информацию на канале не следует воспринимать как единственно верную и 100% подтвержденную.   Запуски авиацией и флотом могут происходить без фиксации и в условиях радиомолчания — в таких случаях написать предупреждение не представляется возможным.  Обстрелы артиллерией, Точками-У/Искандерами, Минометными системами фиксируются крайне редко, поэтому уведомлений может не быть.  Этот канал не является официальным средством оповещения населения. Не игнорируйте сигналы тревоги. Запуск ракет из акватории Черного моря"
2022-05-17,"В Одесской области взрывы, борт 40363 отчитывается о выполнении одной из задач.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 1,5 часов.  Сообщают о взрывах в Николаеве. Скорее всего обстрел РСЗО.  Стратегическая авиация рф поднята в воздух.  Вылет предположительно Ту-22м3 из аэродрома Шайковка. Вероятны тревоги Центр и Восточные области. Запуск был произведен с Ту-95мс. Ракеты Х-101. Вероятно цели на западе Украины. Львов и область - будьте готовы. Есть риск прилётов по восточным областям.  UPD. Пролёт Центральных, вероятно Киевская и далее на Запад. Сейчас в небе три борта: 56738-ой, 56733-ий, 21323-ий. Докладывают об успешном запуске ракет.  Взрывы во Львове.  UPD. сообщают о 8-ми взрывах. Возможно часть из них работа ПВО.  Стратегическая авиация рф поднята в воздух.  UPD. Вылет Ту-95мс из аэропорта Энгельс-2."
2022-05-18," Сообщают о взрывах в Харькове.  Борт 66566 докладывает диспетчеру в Саратов об успешном запуске. Диспетчер не отвечает. Запуск ракет из акватории Черного моря. Винница, сбитие ракеты ПВО.  Львовская область, будьте готовы.  UPD. Сообщают о взрывах в области. Сообщения о трёх ракетах над Винницкой областью. При условии запуска ракет в 18:33 и скорости полета ракет Х-101в 900км/ч, расстояние в 1957 км (Яворовский полигон) преодолевает за 2 часа 10 минут. Запуск ракет из акватории Черного моря.  Активность авиации ВМФ рф в Крыму. Возможны вылеты."
2022-05-19, Запуск ракет c Ту-95мс. Ракеты Х-101  UPD. Западным и Центральным областям скорее всего сейчас ничего не угрожает.
2022-05-20," В небе рф сейчас как минимум 3 борта, включая один Ту-22м3.  UPD. Ту-22м3 бортовой номер RF-94241 так же 66567  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 1,5 часов.  Сообщают о взрывах в Харькове и Николаеве. По ДК в Лозовой, Харьковской области сегодня запустили ракетой Х-22. Ещё один пролёт бомбардировщиков в районе Донецкой области. Вероятны запуски ракет.  Сообщают о взрывах в Одесской и Харьковской областях.  Сбитие одной из ракет в центральных областях. Запуск ракет Х-101/Х-55 с Ту-95мс. Вероятные цели в центральных и западных областях страны.  Сообщают о ракетном ударе в Одесской области, без значимых повреждений.  Активность в радио-эфире аэропорта Шайковка. Вероятно в восточных областях работают Ту-22м3 Запуск ракет из акватории Черного моря.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 1,5 часов."
2022-05-21, Сообщают о взрывах в Николаевской области. Запуск ракет из акватории Черного моря.
2022-05-22," Черноморский флот в режиме приёма-передачи сообщений. Возможны перемещения флота и/или обстрелы ракетами типа ""Калибр"". Запуск ракет из акватории Черного моря.  UPD. Николаевская, Одесская.  Николаев обстреливают кассетными снарядами. Запуск ракет бомбардировщиками из района Донецкой области.  UPD. Предположу, что тревоги Центр, Восток, Юг. Николаев под обстрелом РСЗО со стороны Херсона. Запуск ракет из акватории Черного моря. Запуск ракет из акватории Черного моря. Николаевская область.  Передача сообщений Черноморскому флоту рф из Севастополя. Вероятны запуски ракет ""Калибр"" или перемещения в Черном море. Запуск ракет из района Донецкой области, вероятно Х-22.  Активность стратегической авиации рф. Вероятны тревоги по стране в течение следующих 1,5 часов."
2022-05-23,"Центр+Восток - пуски ракет дальней авиацией рф. Харьковская область под обстрелами.  Дания передаст Украине противокорабельные ракеты ""Harpoon"" и пусковые установки к ним, для защиты береговой линии — Министр обороны США Ллойд Остин   ЧФ рф формирует группу кораблей для проведения операции в чёрном море. Запуск ракет из акватории Черного моря.  UPD. Николаевская область.  Работает дальняя авиация рф. Ракеты Х-101/Х-55. Пуски с бомбардировщика Ту-95мс из района Каспийского моря или Архангельской области рф.  Активность стратегической авиации рф в радио-эфире. Вероятны тревоги по стране в течение следующих 1,5 часов.  Взрывы в Днепропетровской области.  Попытка остановить продвижение оккупантов подрывом плотины Светлодарска, Донецкой области. Сейчас и далее - обстрелы северных областей Украины с территорий рф и Беларуси. Вероятно РСЗО и/или Точки-У, Искандеры.  Сообщают о взрывах в Коростене, Житомирской области. Запуск ракет бомбардировщиками из района Донецкой области. В направлении Полтавы, Харькова, Днепра, Сум. На підтримку корабельного угруповання РФ в Чорному морі із Севастопольської бухти висунувся фрегат ""Адмірал Макаров"". Вірогідність ракетних ударів підвищується – ОК ""Південь"" Запуск ракет бомбардировщиками из района Донецкой области.  Вероятен запуск ракет подлодками ""Варшавянка"""
2022-05-24," Николаев под обстрелами РСЗО.  5 турецких БПЛА над Сирийским регионом. Вероятно отходящий Турции северо-запад Сирии, это ""цена"" вступления Швеции и Финляндии в НАТО. ‼ Вероятны запуски ракет с территории Беларуси. Западные области - будьте готовы.  Лиман Донецкой области окружён с трёх сторон силами оккупантов. Вчера, Ту-95мс ВКС рф и HONG-6K ВВС Китая провели 13-часовое совместное патрулирование над Японским и Восточно-Китайским морями, попутно нарушив воздушные границы Южной Кореи.  Тревоги в западных областях. Над Черным морем авиация рф. Оперативная ситуация на фронте от Генштаба на 24.05:  Враг продолжает наступать на восточном направлении, основная активность в районе Северодонецка и Лисичанска.  Есть риск обстрелов областей, граничащих с Беларусью. В Брест перемещён дивизион Искандер-М.  Харьковская и Сумская области под обстрелами с использованием гранатомётов и авиации. Попытки врага закрепиться на позициях, оттянуть войска на себя.  Славянск - враг готовится наступать, используя ствольную артиллерию.  Лиманское направление - вероятные попытки пересечь речку Северский Донец, под прикрытием реактивной артиллерии.  На Запорожском направлении - подготовка в вражескому наступлению.   Криворожское и Николаевское направление - враг продолжает обстреливать украинские позиции.  Черноморская и Азовская операционные зоны - без изменений.  В Херсоне сообщают о взрывах. Запуск ракет из района Донецкой области.  Активность стратегической авиации рф в радио-эфире. Вероятны тревоги по стране в течение следующих 1,5 часов.  UPD. По состоянию на 02:00 самолётов в небе нет."
2022-05-25,"В Умані було чутно вибухи, повідомляють кореспонденти Суспільного.  Военная разведка США оценивает, что менее 40% российских ракет, выпущенных во время войны в Украине, поразили намеченные цели.   20-30% не запускаются или разбиваются в полете, и многие не попадают в точки прицеливания. ‼О 19:35 очікується авіадуар по Харкову – перебувайте в укриттях. Департамент цивільного захисту Запуск ракет из района Донецкой области дальней авиацией рф. Дальность до 600 км. Достаёт Юг, Центр, Восток.  По информации H I Sutton 24 мая рф проводила демонстративные передвижения флота в Чёрном море.   На снимке со спутника 7 кораблей держащих курс на Севастополь: - 2х проекта Тапир — десантных; - 2х проекта 775 — десантных; - 2х проекта Буян-М — ракетных; - 1х тральщик  Вероятно, что группа кораблей создавала давление на береговые силы обороны, создавая видимую угрозу высадки десанта. Восточные области - запуск ракет авиацией рф с Белгородской и Донецкой областей. Запуск ракет из акватории Черного моря.  Как минимум три взрыва в Запорожской области. Вероятен долёт до Львовской и западных областей, если не будет перехвата.  UPD. так и произошло. Запуск как с моря, так и дальней авиацией рф с Юго-Востока Украины. Запуск ракет из акватории Черного моря.  Сбитие.  Повторный запуск дальней авиацией. Восток, центр, возможно западные области. Запуск ракет из района Донецкой области.  Тревоги восток, возможно центр. Видео с запусками ракет Искандер с территории рф сегодня ночью. Вероятно по Харьковской или Сумской областям."
