time,date,message
17:53:23,2024-04-14,ракета припинила існування в межах району ракетна небезпека триває до відбою
17:51:20,2024-04-14,ракета повз дніпро
16:11:08,2024-04-14,ракета припинила існування в межах району ракетна небезпека триває до відбою
16:02:38,2024-04-14,пуск х59 у напрямку одесачорноморськ
15:27:27,2024-04-14,пуски керованих авіаційних бомб по покровському району донецької області
15:20:33,2024-04-14,пуски керованих авіаційних бомб по харківському району харківської області
15:05:21,2024-04-14,пуски керованих авіаційних бомб по чугуївському району харківської області
15:00:52,2024-04-14,активність тактичної авіації на північному сході загроза застосування каб
07:02:43,2024-04-14,в ніч на 140424 за попередніми розрахунками силами оборони було знищено з запущених засобів ураження   1010 ударних бпла типу шахід
