time,date,message
14:07:50,2024-04-21,ворог продовжує точкові ракетні удари пообіді вдарив балістикою по одещині цілив знову по транспортнологістичному об'єкту припортової інфраструктури вибуховою хвилею та уламками ракети пошкоджено приватні будинки в одному з яких впала стеля на приватному подвір’ї сталося займання сіна на даний час відомого про одного постраждалого інформація уточнюється
13:23:18,2024-04-21,локаційно чисто загроза балістики триває у визначених областях до відбою
13:17:12,2024-04-21,балістика у напрямку одесачорноморськ
13:15:39,2024-04-21,загроза балістики з криму
04:55:19,2024-04-21,пуски керованих авіаційних бомб по бериславському району херсонської області
04:53:49,2024-04-21,активність тактичної авіації вздовж лінії фронту на півдні су34 су35 загроза пусків каб
