region,region_id_api
Київська,31
Кіровоградська,15
Полтавська,19
АР Крим,9999
Черкаська,24
Закарпатська,11
Донецька,28
Миколаївська,17
Сумська,20
Волинська,8
Херсонська,23
Івано-Франківська,13
Одеська,18
Хмельницька,3
Вінницька,4
Тернопільська,21
Чернігівська,25
Рівненська,5
Чернівецька,26
Луганська,16
Львівська,27
Житомирська,10
Харківська,22
Запорізька,12
Дніпропетровська,9
